id,tmdb_id,title,year,release_date,director,genre,duration,overview,rating,vote_count,language,poster_url
69,1061474,Superman,2025,2025-07-09,James Gunn,"Science Fiction, Adventure, Action",130,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.4,4017,en,1061474_ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg
70,991494,The SpongeBob Movie: Search for SquarePants,2025,2025-12-16,Derek Drymon,"Family, Comedy, Adventure, Animation",96,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",7.2,13,en,991494_n92wqmgHhMU0Mzc49AzRUhyhQ65.jpg
71,772,Home Alone 2: Lost in New York,1992,1992-11-15,Chris Columbus,"Comedy, Family, Adventure",120,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",6.769,10261,en,772_uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
72,157336,Interstellar,2014,2014-11-05,Christopher Nolan,"Adventure, Drama, Science Fiction",169,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.5,38433,en,157336_gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
73,1234821,Jurassic World Rebirth,2025,2025-07-01,Gareth Edwards,"Science Fiction, Adventure, Action",134,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",6.374,2629,en,1234821_1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg
74,1469354,Border Hunters,2025,2025-10-20,Ruben Islas,"Action, Thriller",82,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge",8.0,12,en,1469354_6TNFZnJ5CU0uFQxGaO9dbqriiI7.jpg
75,1429520,Sidelined 2: Intercepted,2025,2025-11-27,Justin Wu,"Romance, Comedy",100,"Freshman star quarterback Drayton struggles with the weight of expectations after a devastating setback, while dancer Dallas begins to question the future she thought she wanted. As their high school relationship begins to unravel under the pressures of distance and self-discovery, they’ll learn that the bravest versions of themselves emerge when they let life redirect them.",7.083,12,en,1429520_sEIP1pTVXa8BJaYSuVeVG3wFN10.jpg
76,1022787,Elio,2025,2025-06-18,Domee Shi,"Family, Comedy, Adventure, Animation, Science Fiction",98,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",7.0,717,en,1022787_7z8jDiTZZco9moIKpTUImFtTy7o.jpg
77,278,The Shawshank Redemption,1994,1994-09-23,Frank Darabont,"Drama, Crime",142,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.714,29383,en,278_9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
78,1370124,Sin cobertura,2025,2025-08-22,Mar Olid,"Comedy, Family, Adventure, Fantasy",94,,5.0,6,es,1370124_k7QB1I0VJgD8ibYv7slV2YtMCrO.jpg
79,694,The Shining,1980,1980-05-23,Stanley Kubrick,"Horror, Thriller",144,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",8.206,18414,en,694_uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg
80,840326,Sisu,2022,2022-09-09,Jalmari Helander,"Action, War",91,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.",7.407,2569,fi,
81,1327862,Regretting You,2025,2025-10-22,Josh Boone,"Romance, Drama",116,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",7.0,192,en,1327862_z4gVnxTaks3anTycwKjDmvQSuWt.jpg
82,238,The Godfather,1972,1972-03-14,Francis Ford Coppola,"Drama, Crime",175,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.7,22173,en,238_3bhkrj58Vtu7enYsRolD1fZdja1.jpg
83,1342341,Captain Sabertooth and the Countess of Grel,2025,2025-02-07,Are Austnes,"Animation, Family, Adventure",77,"Set sail for an exciting pirate adventure when Captain Sabertooth and Raven fight against Sibylla and her terrifying dragon in a battle that can only be won by courage, friendship and rat soup!",7.0,6,no,
84,911430,F1,2025,2025-06-25,Joseph Kosinski,"Action, Drama",156,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,7.8,2828,en,911430_9PXZIUsSDh4alB80jheWX4fhZmy.jpg
85,1010581,My Fault,2023,2023-06-08,Domingo González,"Drama, Romance, Thriller",117,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.765,3944,es,1010581_w46Vw536HwNnEzOa7J24YH9DPRS.jpg
86,1403735,Laila,2025,2025-02-14,Ram Narayan,"Comedy, Romance",134,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",5.2,6,te,1403735_aFogllaRGlAhk1nqvVGFpZpl4qU.jpg
87,1134463,Dreams,2025,2025-07-10,Michel Franco,"Drama, Romance",95,"Fernando, a young ballet dancer from Mexico, dreams of international recognition and a life in the US. Believing his lover, Jennifer, a socialite and philanthropist, will support him, he leaves everything behind— narrowly escaping death in the process. However, his arrival disrupts Jennifer’s carefully curated world. She will do anything to protect both their futures— and the life she has built.",5.4,11,es,1134463_k18RLaw3Z7kx82lK9V3FzNyJgiH.jpg
88,1166133,Bramayugam,2024,2024-02-15,Rahul Sadasivan,"Horror, Thriller, Drama",139,"A folk singer in 17th-century Kerala discovers a mansion. Inside, he encounters an enigmatic cook and a powerful master, setting in motion a chain of events that changes his life.",7.478,69,ml,1166133_snQLwRrfQAl5YFKVefZq9Lbscki.jpg
89,1038392,The Conjuring: Last Rites,2025,2025-09-03,Michael Chaves,Horror,136,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,6.9,1470,en,1038392_byWgphT74ClOVa8EOGzYDkl8DVL.jpg
90,1314129,Preparation for the Next Life,2025,2025-09-05,Bing Liu,"Drama, Romance",116,"Aishe, a Uyghur woman trained by her military father, migrates to New York City where she finds herself laboring in Chinatown’s underground kitchens. She fatefully encounters Skinner, a young American soldier who has just returned from three tours in the Middle East. While falling in love, they discover the possibility of a better life together than the ones they believed they were destined to live alone.",6.0,7,en,1314129_8JbuKgQBc8KlXopF1eege54HNQ5.jpg
91,974663,200% Wolf,2024,2024-07-04,Alexs Stadermann,"Animation, Adventure, Fantasy, Family, Action, Comedy",98,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on Earth, Freddy must restore the cosmic order before the earth and moon collide.",5.7,29,en,974663_pHGB9jN31cDNKhR0VRNZsXZkGZQ.jpg
92,1087192,How to Train Your Dragon,2025,2025-06-06,Dean DeBlois,"Fantasy, Family, Action, Adventure",125,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",7.978,2276,en,1087192_q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg
93,1196573,She Rides Shotgun,2025,2025-07-31,Nick Rowland,"Action, Thriller, Crime",120,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",7.095,164,en,1196573_nvqW8mOm818QDio3GKKmPLK8kXj.jpg
94,546554,Knives Out,2019,2019-11-27,Rian Johnson,"Comedy, Crime, Mystery",131,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",7.8,13379,en,
95,1415974,Raat Akeli Hai - The Bansal Murders,2025,2025-12-18,Honey Trehan,"Thriller, Mystery, Crime, Drama",136,"When members of the Bansal family are found murdered, Inspector Jatil Yadav uncovers a trail of greed, betrayal and secrets tied to a deadly conspiracy.",7.2,5,hi,
96,1456349,It Was Just an Accident,2025,2025-09-27,Jafar Panahi,"Drama, Thriller, Crime",103,"Vahid, an Azerbaijani auto mechanic, was once imprisoned by Iranian authorities. During his sentence, he was interrogated blindfolded. One day, a man named Eqbal enters his workshop. His prosthetic leg creaks, and Vahid thinks he recognizes one of his former torturers.",7.189,204,fa,1456349_eNYGj2DG3n8OrVPTfYunpPW9uas.jpg
97,27205,Inception,2010,2010-07-15,Christopher Nolan,"Action, Science Fiction, Adventure",148,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.371,38374,en,27205_xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
98,1430593,Tinsel Town,2025,2025-11-28,Chris Foggin,"Comedy, Romance",94,"A washed-up Hollywood action hero is tricked into starring in a small English town’s chaotic Christmas pantomime, where a straight-talking dance instructor and his estranged daughter just might help him rediscover the magic of the season.",6.5,15,en,1430593_tGidrBsBBxUkmdQpIeFI09oLL8F.jpg
99,507089,Five Nights at Freddy's,2023,2023-10-25,Emma Tammi,"Horror, Thriller",110,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",7.371,4739,en,507089_4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg
100,1130276,Succubus,2024,2024-10-06,R.J. Daniel Hanna,"Horror, Thriller",103,A new father going through a marital separation joins a dating app and matches with a beautiful but mysterious young woman... whose powers of seduction and manipulation entangle him in a mystery more horrifying than he could have ever imagined.,8.802,210,en,1130276_7AfBMebJS8mEtSV5ymdxEPpgvXb.jpg
