id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
50,Mission: Impossible - The Final Reckoning,575265,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",2025-05-17,170,7.248,2224,en,
51,First Squad: The Moment of Truth,23527,Set during the opening days of World War II on the Eastern Front. Its main cast are a group of Soviet teenagers with extraordinary abilities; the teenagers have been drafted to form a special unit to fight the invading German army. They are opposed by a Schutzstaffel officer who is attempting to raise from the dead a supernatural army of crusaders from the 12th-century Order of the Sacred Cross.,2009-05-13,73,6.239,136,ru,23527_hBj1aTnGf4564Klv9yIbSuB7Y8w.jpg
52,Wicked: For Good,967941,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",2025-11-19,137,6.748,477,en,967941_si9tolnefLSUKaqQEGz1bWArOaL.jpg
53,Your Heart Will Be Broken,1523145,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",2026-03-05,0,0.0,0,ru,
54,The Housemaid,1368166,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2025-12-18,131,8.4,22,en,
55,The Family Plan 2,1363123,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",2025-11-11,106,6.644,379,en,1363123_semFxuYx6HcrkZzslgAkBqfJvZk.jpg
56,It Chapter Two,474350,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",2019-09-04,169,6.838,9325,en,474350_zfE0R94v1E8cuKAerbskfD3VfUt.jpg
57,Keeper,1288072,"Liz and Malcolm escape for a romantic anniversary weekend at a secluded cabin. When Malcolm suddenly returns to the city, Liz finds herself isolated and in the presence of an unspeakable evil that reveals the cabin's horrifying secrets.",2025-11-12,99,5.373,71,en,1288072_mbGHijUc0C3fcM12l6ro6FgxIvg.jpg
58,The Fantastic 4: First Steps,617126,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-23,115,7.014,2662,en,617126_pZPJsaFKWheTOerVhLnpP8TPp4B.jpg
59,10Dance,1400032,"Two dancers, opposites in all but their art, agree to train together for a competition. At first, they clash, but soon become drawn to each other.",2025-12-17,128,6.672,29,ja,1400032_sLNy9Npu1YoK1ednpXUlUt9vCBj.jpg
60,The Avengers,24428,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,143,7.881,34555,en,24428_RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
61,Bugonia,701387,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",2025-10-23,119,7.429,898,en,701387_oxgsAQDAAxA92mFGYCZllgWkH9J.jpg
62,Los Muértimer,1318691,It tells the story of five friends who discover a jewel theft plot in a cemetery without any adult believing them.,2025-08-14,0,5.7,6,es,1318691_t2WoKMTAveHf8Ic0KkQhSGCtB6i.jpg
63,How the Grinch Stole Christmas,8871,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,2000-11-17,105,6.776,8011,en,8871_1WZbbPApEivA421gCOluuzMMKCk.jpg
64,A Legend,1116465,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,2024-07-05,129,6.881,126,zh,1116465_qbImUt1d3itXcB81BCItPZlfbyr.jpg
65,Altered,1309012,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",2025-09-18,85,6.2,67,en,1309012_6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg
